sentence,label
the emi comprises of principal and interest,INTEREST
interest is calculated on the basis of monthly rests at the applicable rate,INTEREST
interest rate means the rate at which the bank shall compute and apply interest on the loan as stated in the schedule,INTEREST
the emi includes the interest component,INTEREST
interest and applicable taxes on the loan shall be borne by the borrower,INTEREST
the borrower must pay interest and applicable taxes on the loan,INTEREST
the emi is towards repayment of principal and interest,INTEREST
interest on the loan shall be applied at the fixed rate of interest as stipulated in the schedule,INTEREST
the interest rate shall remain fixed for the entire tenor of the loan,INTEREST
the emi comprises repayment of principal and payment of interest,INTEREST
interest is calculated based on the applicable interest rate and repayment periodicity,INTEREST
the installments comprise of principal and interest calculated on the basis of reducing balance of principal at the applicable interest rate,INTEREST
the interest payable by the borrower shall be subject to changes in interest rates made by the rbi from time to time,INTEREST
the bank may revise the rate of interest based on its internal policy and the revised rate shall be payable by the borrower,INTEREST
in such case the revised rate of interest shall be applicable.,INTEREST
the borrower shall pay a fixed rate of interest as specified in the schedule,INTEREST
the bank may revise the rate of interest on the date of disbursement depending on the prevailing reference rate,INTEREST
the rate of interest shall be the fixed rate as referred to in the schedule,INTEREST
the interest rate mentioned in the schedule is valid as on the date of this agreement,INTEREST
the bank may revise the rate of interest on the date of disbursement and the revised rate shall be applicable,INTEREST
the installments comprise repayment of principal and payment of interest,INTEREST
the installments may be payable monthly bimonthly quarterly half yearly yearly or at such other intervals as specified in the schedule,INTEREST
dues include interest and interest tax payable on the loan,INTEREST
for loans with tenure up to three years the interest rate shall be calculated based on the mclr corresponding to the loan tenure,INTEREST
if monthly interest is not paid the bank may debit and capitalize the interest amount to the loan account,INTEREST
capitalized interest shall be treated as a fresh loan and shall carry interest,INTEREST
provided that the interest payable by the borrower shall be subject to the changes in the interest rates made by the reserve bank of india and or the bank from time to time.,INTEREST
the borrower shall pay minimum interest equal to three months interest on the sanctioned limit,INTEREST
the borrower shall pay interest at the rate and periodicity as mentioned in the schedule,INTEREST
interest shall be calculated at the applicable rate with monthly rests,INTEREST
the interest rate (apr) shall be the rate specified in the schedule at which the bank computes interest on the loan and may be amended from time to time,INTEREST
the borrower agrees to pay interest on the loan at the rate and rests specified in the schedule,INTEREST
interest in the emi shall be calculated based on the applicable interest rate and periodicity,INTEREST
the bank may change the interest rate by giving notice to the borrower and shall thereafter charge interest at the revised rate,INTEREST
interest shall be calculated at monthly rests,INTEREST
interest in the emi shall be calculated on the basis of monthly rests at the applicable rate,INTEREST
in such case the revised interest rate shall apply,INTEREST
for the additional loan the borrower shall pay interest at a fixed rate as specified in the sanction letter,INTEREST
the interest rate may be fixed or floating and changes in interest rates shall be communicated by letter or email,INTEREST
for the first loan the borrower shall pay interest at a fixed rate as specified in the schedule,INTEREST
the bank may revise the interest rate on the date of disbursement based on the prevailing reference rate,INTEREST
"the reference rate for interest may be the base rate, mclr or any other rate permitted by law or rbi and may be changed by the bank from time to time",INTEREST
interest shall be charged at the applicable rate per annum with monthly or quarterly rests and may be revised by the bank from time to time based on the base rate,INTEREST
no reset interest rate (for loans with tenor 36 months) effective rate of interest,INTEREST
date of reset of interest,INTEREST
rate of interest % per annum,INTEREST
effective annualised interest rate,INTEREST
periodicity of interest compounding,INTEREST
roi type fixed or floating,INTEREST
method of computation of interest rate,INTEREST
the emi includes payment of interest calculated on the basis of the interest rate apr,INTEREST
interest at 18% per annum.,INTEREST
interest shall be calculated on a reducing balance basis on the outstanding principal amount,INTEREST
the applicable interest rate shall be the benchmark rate plus a spread as determined by the bank,INTEREST
the interest rate shall be reset every twelve months based on the prevailing benchmark rate,INTEREST
unpaid interest shall be capitalized and added to the principal amount of the loan,INTEREST
the loan shall carry a floating rate of interest linked to the mclr,INTEREST
the loan shall carry a fixed rate of interest for the entire tenure of the agreement,INTEREST
interest shall accrue from the date of disbursement of the loan until full repayment,INTEREST
the effective rate of interest may differ from the nominal rate due to compounding,INTEREST
the bank may revise the interest rate in case of changes in regulatory or market conditions,INTEREST
interest shall be compounded on a monthly basis at the applicable rate,INTEREST
the borrower shall pay additional interest on overdue amounts at the rate specified in the schedule,INTEREST
the interest rate applicable to the loan shall be communicated to the borrower in the sanction letter,INTEREST
the interest shall be calculated on the outstanding balance and not on the original principal amount,INTEREST
the interest rate shall remain fixed for the first twenty four months and may be revised thereafter,INTEREST
the interest payable by the borrower shall be subject to periodic reset as per the bank policy,INTEREST
the interest rate is 6.9 percent per annum,INTEREST
,
,
,
,
,
the monthly payment is 820 dollars,PAYMENT
the security deposit is 1500 dollars,PAYMENT
the down payment is 4000 dollars,PAYMENT
the acquisition fee is 395 dollars,PAYMENT
the total amount due at signing is 5895 dollars,PAYMENT
payments are due monthly,PAYMENT
the monthly lease payment is 289 dollars,PAYMENT
the security deposit is 450 dollars,PAYMENT
